datetime,wq_po4_gramsPerMeterCubed_1,wq_pop_gramsPerMeterCubed_1,wq_nh4_gramsPerMeterCubed_1,wq_no3_gramsPerMeterCubed_1,wq_sio2_gramsPerMeterCubed_1,wq_po4_gramsPerMeterCubed_2,wq_pop_gramsPerMeterCubed_2,wq_nh4_gramsPerMeterCubed_2,wq_no3_gramsPerMeterCubed_2,wq_sio2_gramsPerMeterCubed_2
1990-06-27 00:00:00,0.087072112,0.027689998,0.385807953,5.113365912,2.407088566,0,0,0,0,0
1990-06-28 00:00:00,0.086091822,0.02718008,0.383151112,5.241674218,2.369159335,0,0,0,0,0
1990-06-29 00:00:00,0.082432703,0.029021735,0.449400784,4.942014874,3.101349754,0,0,0,0,0
1990-06-30 00:00:00,0.081573384,0.029238728,0.460607643,4.933213582,3.208341027,0,0,0,0,0
1990-07-01 00:00:00,0.082306339,0.027410026,0.417708142,5.291157939,2.725011542,0,0,0,0,0
1990-07-02 00:00:00,0.082237647,0.026497092,0.399485062,5.517355045,2.496655037,0,0,0,0,0
1990-07-03 00:00:00,0.081484089,0.026025337,0.395572653,5.654921384,2.437441838,0,0,0,0,0
1990-07-04 00:00:00,0.083978936,0.030574811,0.465530456,5.044495406,2.981264117,0,0,0,0,0
1990-07-05 00:00:00,0.087265905,0.03316899,0.490556143,4.65746195,3.12531071,0,0,0,0,0
1990-07-06 00:00:00,0.085869618,0.036576786,0.562136629,4.493483541,3.699919753,0,0,0,0,0
1990-07-07 00:00:00,0.085299772,0.032269669,0.485479831,4.924353057,3.042150061,0,0,0,0,0
1990-07-08 00:00:00,0.084586464,0.032586177,0.49565851,4.954514197,3.115206783,0,0,0,0,0
1990-07-09 00:00:00,0.08494735,0.032870685,0.498258895,4.890469888,3.126433734,0,0,0,0,0
1990-07-10 00:00:00,0.083517635,0.031196939,0.478574597,5.036498082,2.998272493,0,0,0,0,0
1990-07-11 00:00:00,0.081927167,0.029462926,0.458601356,5.204127193,2.868484735,0,0,0,0,0
1990-07-12 00:00:00,0.080509963,0.027970329,0.441217309,5.36457889,2.75007767,0,0,0,0,0
1990-07-13 00:00:00,0.078737339,0.027855719,0.45231895,5.362426499,2.911333731,0,0,0,0,0
1990-07-14 00:00:00,0.078085025,0.025999234,0.420863118,5.638274383,2.605852307,0,0,0,0,0
1990-07-15 00:00:00,0.077330526,0.026118482,0.428079927,5.646047582,2.675444428,0,0,0,0,0
1990-07-16 00:00:00,0.076953027,0.031394848,0.532772573,4.77799343,3.754690248,0,0,0,0,0
1990-07-17 00:00:00,0.078142233,0.025942542,0.41900758,5.503704674,2.590474642,0,0,0,0,0
1990-07-18 00:00:00,0.077353241,0.025685737,0.41896528,5.56841945,2.587937186,0,0,0,0,0
1990-07-19 00:00:00,0.076172533,0.026117346,0.435498519,5.479445199,2.79150732,0,0,0,0,0
1990-07-20 00:00:00,0.076481819,0.025475034,0.419876018,5.58009297,2.599644398,0,0,0,0,0
1990-07-21 00:00:00,0.075464516,0.025011531,0.417412431,5.67059435,2.585040901,0,0,0,0,0
1990-07-22 00:00:00,0.075504029,0.026777002,0.449140883,5.47151465,2.860495618,0,0,0,0,0
1990-07-23 00:00:00,0.076143795,0.026491875,0.438790934,5.409496323,2.757012162,0,0,0,0,0
1990-07-24 00:00:00,0.075001863,0.026039028,0.437059536,5.520942678,2.744762065,0,0,0,0,0
1990-07-25 00:00:00,0.072561706,0.031042902,0.54809688,4.914128395,3.914666745,0,0,0,0,0
1990-07-26 00:00:00,0.073615239,0.026667811,0.455364847,5.550548111,2.901218465,0,0,0,0,0
1990-07-27 00:00:00,0.073274466,0.035634649,0.622229369,4.572768033,4.498440785,0,0,0,0,0
1990-07-28 00:00:00,0.073316189,0.033112451,0.574059188,4.804264409,4.039938179,0,0,0,0,0
1990-07-29 00:00:00,0.072116574,0.026476469,0.458616002,5.563002453,2.950677795,0,0,0,0,0
1990-07-30 00:00:00,0.071316124,0.025285239,0.441448439,5.653436771,2.820597434,0,0,0,0,0
1990-07-31 00:00:00,0.070526265,0.025253819,0.445526336,5.622385734,2.894374087,0,0,0,0,0
1990-08-01 00:00:00,0.070715315,0.024737238,0.433086179,5.628803522,2.765999322,0,0,0,0,0
1990-08-02 00:00:00,0.069949746,0.024895659,0.439955983,5.617914649,2.848905986,0,0,0,0,0
1990-08-03 00:00:00,0.070962616,0.025877669,0.449826358,5.368508781,2.939070496,0,0,0,0,0
1990-08-04 00:00:00,0.069958228,0.030476044,0.540915745,4.87180822,3.868966401,0,0,0,0,0
1990-08-05 00:00:00,0.068939973,0.026342049,0.4682961,5.472131473,3.119472507,0,0,0,0,0
1990-08-06 00:00:00,0.067057985,0.029402712,0.538630538,5.08124106,3.923323205,0,0,0,0,0
1990-08-07 00:00:00,0.066836075,0.024587093,0.447484087,5.690562072,2.972762141,0,0,0,0,0
1990-08-08 00:00:00,0.066476607,0.023366856,0.425368798,5.804650587,2.759342795,0,0,0,0,0
1990-08-09 00:00:00,0.065325271,0.026170854,0.486835557,5.264615734,3.521603223,0,0,0,0,0
1990-08-10 00:00:00,0.064537308,0.025259398,0.474163248,5.292751036,3.451948728,0,0,0,0,0
1990-08-11 00:00:00,0.063231156,0.024013791,0.458202607,5.436216731,3.34579123,0,0,0,0,0
1990-08-12 00:00:00,0.061975977,0.022967842,0.445339275,5.574412257,3.263082842,0,0,0,0,0
1990-08-13 00:00:00,0.061034635,0.022115524,0.433605241,5.686404693,3.176834284,0,0,0,0,0
1990-08-14 00:00:00,0.061392011,0.020722341,0.400879562,5.961275144,2.748132302,0,0,0,0,0
1990-08-15 00:00:00,0.06255094,0.021307225,0.401302898,5.843827066,2.679258321,0,0,0,0,0
1990-08-16 00:00:00,0.065419924,0.02571961,0.46286307,5.001935263,3.296647796,0,0,0,0,0
1990-08-17 00:00:00,0.065832466,0.023097865,0.408036191,5.197520763,2.729866481,0,0,0,0,0
1990-08-18 00:00:00,0.06475548,0.022915143,0.409313804,5.2948332,2.746948951,0,0,0,0,0
1990-08-19 00:00:00,0.068002052,0.029010975,0.496893128,4.478221707,3.564226672,0,0,0,0,0
1990-08-20 00:00:00,0.066963589,0.028365531,0.490042813,4.556856363,3.524863003,0,0,0,0,0
1990-08-21 00:00:00,0.065449608,0.026862665,0.47157056,4.678573207,3.408632574,0,0,0,0,0
1990-08-22 00:00:00,0.064019222,0.024811257,0.442172781,4.821210835,3.192339253,0,0,0,0,0
1990-08-23 00:00:00,0.062869768,0.023194524,0.418079443,4.935945645,3.011317694,0,0,0,0,0
1990-08-24 00:00:00,0.06194295,0.021771464,0.395144035,5.061268757,2.817323314,0,0,0,0,0
1990-08-25 00:00:00,0.061080189,0.021039692,0.384788772,5.121417965,2.749581031,0,0,0,0,0
1990-08-26 00:00:00,0.060697383,0.01955318,0.354760611,5.349372099,2.402069166,0,0,0,0,0
1990-08-27 00:00:00,0.059922973,0.019187579,0.350378388,5.397497454,2.379483073,0,0,0,0,0
1990-08-28 00:00:00,0.061669863,0.023166963,0.413615208,4.69090005,3.076165037,0,0,0,0,0
1990-08-29 00:00:00,0.061294308,0.021681261,0.384782556,4.792513879,2.799997642,0,0,0,0,0
1990-08-30 00:00:00,0.060139129,0.021531868,0.387437776,4.850240028,2.858265835,0,0,0,0,0
1990-08-31 00:00:00,0.05912565,0.021032014,0.382160248,4.927752528,2.833819965,0,0,0,0,0
1990-09-01 00:00:00,0.058187132,0.020495541,0.375734254,4.991599977,2.802708122,0,0,0,0,0
1990-09-02 00:00:00,0.057209917,0.01980793,0.366448996,5.076550101,2.741874553,0,0,0,0,0
1990-09-03 00:00:00,0.056255516,0.019031836,0.354891975,5.189322732,2.64763261,0,0,0,0,0
1990-09-04 00:00:00,0.055166285,0.018711391,0.353716665,5.245262385,2.681350012,0,0,0,0,0
1990-09-05 00:00:00,0.054108848,0.017978121,0.343492288,5.381968564,2.599414192,0,0,0,0,0
